flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
fr4755,ryanair,active,2023-05-02t08:00:00.000,2023-05-02t08:00:00.000,2023-05-02 08:15:00,2023-05-02,08:15:00,16,Regular departures
fr4133,ryanair,active,2023-05-02t08:15:00.000,2023-05-02t08:15:00.000,2023-05-02 08:32:00,2023-05-02,08:32:00,18,Regular departures
ba8937,british airways,active,2023-05-02t08:25:00.000,2023-05-02t08:25:00.000,2023-05-02 08:27:00,2023-05-02,08:27:00,2,Regular departures
ei3281,aer lingus,active,2023-05-02t08:25:00.000,2023-05-02t08:25:00.000,2023-05-02 08:27:00,2023-05-02,08:27:00,2,Regular departures
w61020,wizz air,active,2023-05-02t08:35:00.000,2023-05-02t08:35:00.000,2023-05-02 08:40:00,2023-05-02,08:40:00,5,Regular departures
fr1331,ryanair,active,2023-05-02t09:15:00.000,2023-05-02t09:15:00.000,2023-05-02 09:23:00,2023-05-02,09:23:00,8,Regular departures
fr3161,ryanair,active,2023-05-02t09:20:00.000,2023-05-02t09:30:00.000,2023-05-02 09:54:00,2023-05-02,09:54:00,35,Regular departures
tp7609,tap air portugal,active,2023-05-02t09:40:00.000,2023-05-02t09:40:00.000,2023-05-02 09:45:00,2023-05-02,09:45:00,6,Regular departures
lh971,lufthansa,active,2023-05-02t09:40:00.000,2023-05-02t09:40:00.000,2023-05-02 09:45:00,2023-05-02,09:45:00,6,Regular departures
u22723,easyjet,active,2023-05-02t10:15:00.000,2023-05-02t10:29:00.000,2023-05-02 10:45:00,2023-05-02,10:45:00,31,Regular departures
u22895,easyjet,active,2023-05-02t10:35:00.000,2023-05-02t10:35:00.000,2023-05-02 10:36:00,2023-05-02,10:36:00,2,Regular departures
u2245,easyjet,active,2023-05-02t11:00:00.000,2023-05-02t11:00:00.000,2023-05-02 11:06:00,2023-05-02,11:06:00,7,Regular departures
u2225,easyjet,active,2023-05-02t11:05:00.000,2023-05-02t11:05:00.000,2023-05-02 11:15:00,2023-05-02,11:15:00,10,Regular departures
u22851,easyjet,active,2023-05-02t13:30:00.000,2023-05-02t13:58:00.000,2023-05-02 14:17:00,2023-05-02,14:17:00,48,Regular departures
u22835,easyjet,active,2023-05-02t12:10:00.000,2023-05-02t12:10:00.000,2023-05-02 12:12:00,2023-05-02,12:12:00,2,Regular departures
fr3560,ryanair,active,2023-05-02t13:15:00.000,2023-05-02t13:35:00.000,2023-05-02 13:51:00,2023-05-02,13:51:00,36,Regular departures
,capital air ambulance,active,2023-05-02t09:00:00.000,2023-05-02t09:10:00.000,2023-05-02 08:54:00,2023-05-02,08:54:00,0,Regular departures
si475,blue islands,active,2023-05-02t10:40:00.000,2023-05-02t10:50:00.000,2023-05-02 10:43:00,2023-05-02,10:43:00,3,Regular departures
u22729,easyjet,active,2023-05-02t13:20:00.000,2023-05-02t13:30:00.000,2023-05-02 13:38:00,2023-05-02,13:38:00,19,Regular departures
u22775,easyjet,active,2023-05-02t13:25:00.000,2023-05-02t13:25:00.000,2023-05-02 13:40:00,2023-05-02,13:40:00,16,Regular departures
ls1831,jet2,active,2023-05-02t13:40:00.000,2023-05-02t14:10:00.000,2023-05-02 14:24:00,2023-05-02,14:24:00,45,Regular departures
ey7365,etihad airways,active,2023-05-02t13:45:00.000,2023-05-02t14:11:00.000,2023-05-02 14:08:00,2023-05-02,14:08:00,24,Regular departures
kq1052,kenya airways,active,2023-05-02t13:45:00.000,2023-05-02t14:11:00.000,2023-05-02 14:08:00,2023-05-02,14:08:00,24,Regular departures
vs7045,virgin atlantic,active,2023-05-02t13:45:00.000,2023-05-02t14:11:00.000,2023-05-02 14:08:00,2023-05-02,14:08:00,24,Regular departures
kl1052,klm,active,2023-05-02t13:45:00.000,2023-05-02t14:11:00.000,2023-05-02 14:08:00,2023-05-02,14:08:00,24,Regular departures
u22867,easyjet,active,2023-05-02t13:45:00.000,2023-05-02t13:45:00.000,2023-05-02 13:58:00,2023-05-02,13:58:00,13,Regular departures
u22913,easyjet,active,2023-05-02t13:50:00.000,2023-05-02t13:50:00.000,2023-05-02 13:56:00,2023-05-02,13:56:00,6,Regular departures
ls1801,jet2,active,2023-05-02t14:00:00.000,2023-05-02t14:10:00.000,2023-05-02 14:22:00,2023-05-02,14:22:00,22,Regular departures
x36238,tuifly,active,2023-05-02t14:05:00.000,2023-05-02t14:15:00.000,2023-05-02 14:19:00,2023-05-02,14:19:00,15,Regular departures
gr643,aurigny air services,active,2023-05-02t14:20:00.000,2023-05-02t14:30:00.000,2023-05-02 14:35:00,2023-05-02,14:35:00,16,Regular departures
x3562,tuifly,active,2023-05-02t14:25:00.000,2023-05-02t14:35:00.000,2023-05-02 14:31:00,2023-05-02,14:31:00,7,Regular departures
fr4753,ryanair,active,2023-05-02t14:35:00.000,2023-05-02t14:35:00.000,2023-05-02 14:54:00,2023-05-02,14:54:00,19,Regular departures
u22769,easyjet,active,2023-05-02t14:40:00.000,2023-05-02t15:10:00.000,2023-05-02 15:15:00,2023-05-02,15:15:00,35,Regular departures
u2217,easyjet,active,2023-05-02t15:00:00.000,2023-05-02t15:00:00.000,2023-05-02 15:10:00,2023-05-02,15:10:00,11,Regular departures
fr1361,ryanair,active,2023-05-02t15:30:00.000,2023-05-02t15:30:00.000,2023-05-02 15:53:00,2023-05-02,15:53:00,23,Regular departures
fr507,ryanair,active,2023-05-02t15:55:00.000,2023-05-02t15:55:00.000,2023-05-02 16:05:00,2023-05-02,16:05:00,10,Regular departures
ei3843,aer lingus,active,2023-05-02t16:00:00.000,2023-05-02t16:00:00.000,2023-05-02 16:26:00,2023-05-02,16:26:00,27,Regular departures
u2227,easyjet,active,2023-05-02t16:05:00.000,2023-05-02t16:26:00.000,2023-05-02 16:25:00,2023-05-02,16:25:00,20,Regular departures
u24980,easyjet,active,2023-05-02t16:10:00.000,2023-05-02t16:10:00.000,2023-05-02 16:29:00,2023-05-02,16:29:00,19,Regular departures
ls1881,jet2,active,2023-05-02t16:15:00.000,2023-05-02t16:25:00.000,2023-05-02 16:21:00,2023-05-02,16:21:00,7,Regular departures
x36278,tuifly,active,2023-05-02t16:30:00.000,2023-05-02t16:30:00.000,2023-05-02 16:47:00,2023-05-02,16:47:00,17,Regular departures
u22717,easyjet,active,2023-05-02t16:30:00.000,2023-05-02t16:30:00.000,2023-05-02 16:41:00,2023-05-02,16:41:00,11,Regular departures
ls1821,jet2,active,2023-05-02t16:35:00.000,2023-05-02t16:45:00.000,2023-05-02 16:50:00,2023-05-02,16:50:00,16,Regular departures
u22925,easyjet,active,2023-05-02t16:35:00.000,2023-05-02t17:01:00.000,2023-05-02 17:11:00,2023-05-02,17:11:00,37,Regular departures
x3418,tuifly,active,2023-05-02t16:40:00.000,2023-05-02t16:40:00.000,2023-05-02 17:05:00,2023-05-02,17:05:00,25,Regular departures
fr2292,ryanair,active,2023-05-02t17:00:00.000,2023-05-02t17:00:00.000,2023-05-02 17:30:00,2023-05-02,17:30:00,31,Regular departures
fr2798,ryanair,active,2023-05-02t17:15:00.000,2023-05-02t17:15:00.000,2023-05-02 17:26:00,2023-05-02,17:26:00,12,Regular departures
ey5802,etihad airways,active,2023-05-02t17:30:00.000,2023-05-02t17:30:00.000,2023-05-02 17:39:00,2023-05-02,17:39:00,9,Regular departures
kq1054,kenya airways,active,2023-05-02t17:30:00.000,2023-05-02t17:30:00.000,2023-05-02 17:39:00,2023-05-02,17:39:00,9,Regular departures
vs7046,virgin atlantic,active,2023-05-02t17:30:00.000,2023-05-02t17:30:00.000,2023-05-02 17:39:00,2023-05-02,17:39:00,9,Regular departures
kl1054,klm,active,2023-05-02t17:30:00.000,2023-05-02t17:30:00.000,2023-05-02 17:39:00,2023-05-02,17:39:00,9,Regular departures
u22839,easyjet,active,2023-05-02t17:45:00.000,2023-05-02t17:45:00.000,2023-05-02 18:00:00,2023-05-02,18:00:00,16,Regular departures
u22707,easyjet,active,2023-05-02t17:50:00.000,2023-05-02t17:50:00.000,2023-05-02 18:03:00,2023-05-02,18:03:00,13,Regular departures
u22885,easyjet,active,2023-05-02t18:15:00.000,2023-05-02t18:15:00.000,2023-05-02 18:25:00,2023-05-02,18:25:00,10,Regular departures
u22705,easyjet,active,2023-05-02t18:35:00.000,2023-05-02t18:35:00.000,2023-05-02 18:41:00,2023-05-02,18:41:00,7,Regular departures
u22873,easyjet,active,2023-05-02t18:55:00.000,2023-05-02t18:55:00.000,2023-05-02 19:03:00,2023-05-02,19:03:00,8,Regular departures
ba8941,british airways,active,2023-05-02t19:00:00.000,2023-05-02t19:00:00.000,2023-05-02 19:26:00,2023-05-02,19:26:00,26,Regular departures
ei3285,aer lingus,active,2023-05-02t19:00:00.000,2023-05-02t19:00:00.000,2023-05-02 19:26:00,2023-05-02,19:26:00,26,Regular departures
fr4121,ryanair,active,2023-05-02t19:20:00.000,2023-05-02t19:20:00.000,2023-05-02 19:32:00,2023-05-02,19:32:00,13,Regular departures
u2219,easyjet,active,2023-05-02t19:20:00.000,2023-05-02t19:51:00.000,2023-05-02 20:08:00,2023-05-02,20:08:00,48,Regular departures
u24052,easyjet,active,2023-05-02t19:20:00.000,2023-05-02t19:20:00.000,2023-05-02 19:25:00,2023-05-02,19:25:00,5,Regular departures
ba8943,british airways,active,2023-05-02t19:40:00.000,2023-05-02t19:50:00.000,2023-05-02 20:05:00,2023-05-02,20:05:00,26,Regular departures
ei3287,aer lingus,active,2023-05-02t19:40:00.000,2023-05-02t19:50:00.000,2023-05-02 20:05:00,2023-05-02,20:05:00,26,Regular departures
u2229,easyjet,active,2023-05-02t19:45:00.000,2023-05-02t20:12:00.000,2023-05-02 20:18:00,2023-05-02,20:18:00,33,Regular departures
u22725,easyjet,active,2023-05-02t19:45:00.000,2023-05-02t19:45:00.000,2023-05-02 19:52:00,2023-05-02,19:52:00,8,Regular departures
ba7820,british airways,active,2023-05-02t19:55:00.000,2023-05-02t19:55:00.000,2023-05-02 20:13:00,2023-05-02,20:13:00,18,Regular departures
si7046,sierra pacific airlines,active,2023-05-02t19:55:00.000,2023-05-02t19:55:00.000,2023-05-02 20:13:00,2023-05-02,20:13:00,18,Regular departures
lm46,loganair,active,2023-05-02t19:55:00.000,2023-05-02t19:55:00.000,2023-05-02 20:13:00,2023-05-02,20:13:00,18,Regular departures
u2241,easyjet,active,2023-05-02t19:55:00.000,2023-05-02t19:55:00.000,2023-05-02 19:50:00,2023-05-02,19:50:00,0,Regular departures
u2209,easyjet,active,2023-05-02t20:25:00.000,2023-05-02t21:02:00.000,2023-05-02 21:19:00,2023-05-02,21:19:00,54,Regular departures
fr509,ryanair,active,2023-05-02t20:55:00.000,2023-05-02t21:10:00.000,2023-05-02 21:26:00,2023-05-02,21:26:00,32,Regular departures
u2316,easyjet,active,2023-05-02t21:30:00.000,2023-05-02t21:20:00.000,2023-05-02 21:24:00,2023-05-02,21:24:00,0,Regular departures
u29006,easyjet,active,2023-05-02t13:00:00.000,2023-05-02t13:11:00.000,2023-05-02 13:15:00,2023-05-02,13:15:00,15,Regular departures
x36254,tuifly,active,2023-05-02t06:00:00.000,2023-05-02t06:00:00.000,2023-05-02 06:10:00,2023-05-02,06:10:00,11,Shoulder hour flights
x36212,tuifly,active,2023-05-02t06:00:00.000,2023-05-02t06:00:00.000,2023-05-02 06:06:00,2023-05-02,06:06:00,7,Shoulder hour flights
u22715,easyjet,active,2023-05-02t06:00:00.000,2023-05-02t06:11:00.000,2023-05-02 06:12:00,2023-05-02,06:12:00,13,Shoulder hour flights
u22709,easyjet,active,2023-05-02t06:00:00.000,2023-05-02t06:10:00.000,2023-05-02 06:19:00,2023-05-02,06:19:00,19,Shoulder hour flights
ls1891,jet2,active,2023-05-02t06:05:00.000,2023-05-02t06:15:00.000,2023-05-02 06:17:00,2023-05-02,06:17:00,12,Shoulder hour flights
x36272,tuifly,active,2023-05-02t06:05:00.000,2023-05-02t06:25:00.000,2023-05-02 06:36:00,2023-05-02,06:36:00,32,Shoulder hour flights
u22765,easyjet,active,2023-05-02t06:10:00.000,2023-05-02t06:15:00.000,2023-05-02 06:21:00,2023-05-02,06:21:00,12,Shoulder hour flights
fr505,ryanair,active,2023-05-02t06:15:00.000,2023-05-02t06:30:00.000,2023-05-02 06:43:00,2023-05-02,06:43:00,29,Shoulder hour flights
u22731,easyjet,active,2023-05-02t06:15:00.000,2023-05-02t06:15:00.000,2023-05-02 06:29:00,2023-05-02,06:29:00,15,Shoulder hour flights
u22837,easyjet,active,2023-05-02t06:15:00.000,2023-05-02t06:26:00.000,2023-05-02 06:46:00,2023-05-02,06:46:00,31,Shoulder hour flights
u22843,easyjet,active,2023-05-02t06:15:00.000,2023-05-02t06:25:00.000,2023-05-02 06:31:00,2023-05-02,06:31:00,16,Shoulder hour flights
af5199,air france,active,2023-05-02t06:20:00.000,2023-05-02t06:30:00.000,2023-05-02 06:38:00,2023-05-02,06:38:00,19,Shoulder hour flights
az3737,alitalia,active,2023-05-02t06:20:00.000,2023-05-02t06:30:00.000,2023-05-02 06:38:00,2023-05-02,06:38:00,19,Shoulder hour flights
dl9422,delta air lines,active,2023-05-02t06:20:00.000,2023-05-02t06:30:00.000,2023-05-02 06:38:00,2023-05-02,06:38:00,19,Shoulder hour flights
ey7330,etihad airways,active,2023-05-02t06:20:00.000,2023-05-02t06:30:00.000,2023-05-02 06:38:00,2023-05-02,06:38:00,19,Shoulder hour flights
g35535,gol,active,2023-05-02t06:20:00.000,2023-05-02t06:30:00.000,2023-05-02 06:38:00,2023-05-02,06:38:00,19,Shoulder hour flights
kq1046,kenya airways,active,2023-05-02t06:20:00.000,2023-05-02t06:30:00.000,2023-05-02 06:38:00,2023-05-02,06:38:00,19,Shoulder hour flights
vs6854,virgin atlantic,active,2023-05-02t06:20:00.000,2023-05-02t06:30:00.000,2023-05-02 06:38:00,2023-05-02,06:38:00,19,Shoulder hour flights
kl1046,klm,active,2023-05-02t06:20:00.000,2023-05-02t06:30:00.000,2023-05-02 06:38:00,2023-05-02,06:38:00,19,Shoulder hour flights
ls1817,jet2,active,2023-05-02t06:30:00.000,2023-05-02t06:39:00.000,2023-05-02 06:41:00,2023-05-02,06:41:00,11,Shoulder hour flights
u22939,easyjet,active,2023-05-02t06:35:00.000,2023-05-02t06:35:00.000,2023-05-02 06:50:00,2023-05-02,06:50:00,16,Shoulder hour flights
u22702,easyjet,active,2023-05-02t06:50:00.000,2023-05-02t07:00:00.000,2023-05-02 07:04:00,2023-05-02,07:04:00,15,Regular departures
ls1859,jet2,active,2023-05-02t07:00:00.000,2023-05-02t07:10:00.000,2023-05-02 07:13:00,2023-05-02,07:13:00,13,Regular departures
u2223,easyjet,active,2023-05-02t07:00:00.000,2023-05-02t07:11:00.000,2023-05-02 07:22:00,2023-05-02,07:22:00,23,Regular departures
u22801,easyjet,active,2023-05-02t07:00:00.000,2023-05-02t07:00:00.000,2023-05-02 07:07:00,2023-05-02,07:07:00,7,Regular departures
u22903,easyjet,active,2023-05-02t07:00:00.000,2023-05-02t07:10:00.000,2023-05-02 07:18:00,2023-05-02,07:18:00,18,Regular departures
u2201,easyjet,active,2023-05-02t07:05:00.000,2023-05-02t07:05:00.000,2023-05-02 07:10:00,2023-05-02,07:10:00,6,Regular departures
u2213,easyjet,active,2023-05-02t07:05:00.000,2023-05-02t07:05:00.000,2023-05-02 07:20:00,2023-05-02,07:20:00,16,Regular departures
u22921,easyjet,active,2023-05-02t07:05:00.000,2023-05-02t07:05:00.000,2023-05-02 07:24:00,2023-05-02,07:24:00,20,Regular departures
x36256,tuifly,active,2023-05-02t07:15:00.000,2023-05-02t07:15:00.000,2023-05-02 07:29:00,2023-05-02,07:29:00,14,Regular departures
ls1871,jet2,active,2023-05-02t07:30:00.000,2023-05-02t07:30:00.000,2023-05-02 07:44:00,2023-05-02,07:44:00,14,Regular departures
fr8681,ryanair,active,2023-05-02t07:40:00.000,2023-05-02t07:40:00.000,2023-05-02 07:47:00,2023-05-02,07:47:00,8,Regular departures
fr5341,ryanair,active,2023-05-02t07:45:00.000,2023-05-02t07:45:00.000,2023-05-02 07:55:00,2023-05-02,07:55:00,10,Regular departures
fr4755,ryanair,active,2023-05-02t08:00:00.000,2023-05-02t08:00:00.000,2023-05-02 08:15:00,2023-05-02,08:15:00,16,Regular departures
fr4133,ryanair,active,2023-05-02t08:15:00.000,2023-05-02t08:15:00.000,2023-05-02 08:32:00,2023-05-02,08:32:00,18,Regular departures
ba8937,british airways,active,2023-05-02t08:25:00.000,2023-05-02t08:25:00.000,2023-05-02 08:27:00,2023-05-02,08:27:00,2,Regular departures
ei3281,aer lingus,active,2023-05-02t08:25:00.000,2023-05-02t08:25:00.000,2023-05-02 08:27:00,2023-05-02,08:27:00,2,Regular departures
w61020,wizz air,active,2023-05-02t08:35:00.000,2023-05-02t08:35:00.000,2023-05-02 08:40:00,2023-05-02,08:40:00,5,Regular departures
fr1331,ryanair,active,2023-05-02t09:15:00.000,2023-05-02t09:15:00.000,2023-05-02 09:23:00,2023-05-02,09:23:00,8,Regular departures
fr3161,ryanair,active,2023-05-02t09:20:00.000,2023-05-02t09:30:00.000,2023-05-02 09:54:00,2023-05-02,09:54:00,35,Regular departures
tp7609,tap air portugal,active,2023-05-02t09:40:00.000,2023-05-02t09:40:00.000,2023-05-02 09:45:00,2023-05-02,09:45:00,6,Regular departures
lh971,lufthansa,active,2023-05-02t09:40:00.000,2023-05-02t09:40:00.000,2023-05-02 09:45:00,2023-05-02,09:45:00,6,Regular departures
u22723,easyjet,active,2023-05-02t10:15:00.000,2023-05-02t10:29:00.000,2023-05-02 10:45:00,2023-05-02,10:45:00,31,Regular departures
u22895,easyjet,active,2023-05-02t10:35:00.000,2023-05-02t10:35:00.000,2023-05-02 10:36:00,2023-05-02,10:36:00,2,Regular departures
u2245,easyjet,active,2023-05-02t11:00:00.000,2023-05-02t11:00:00.000,2023-05-02 11:06:00,2023-05-02,11:06:00,7,Regular departures
u2225,easyjet,active,2023-05-02t11:05:00.000,2023-05-02t11:05:00.000,2023-05-02 11:15:00,2023-05-02,11:15:00,10,Regular departures
u22851,easyjet,active,2023-05-02t13:30:00.000,2023-05-02t13:58:00.000,2023-05-02 14:17:00,2023-05-02,14:17:00,48,Regular departures
u22835,easyjet,active,2023-05-02t12:10:00.000,2023-05-02t12:10:00.000,2023-05-02 12:12:00,2023-05-02,12:12:00,2,Regular departures
fr3560,ryanair,active,2023-05-02t13:15:00.000,2023-05-02t13:35:00.000,2023-05-02 13:51:00,2023-05-02,13:51:00,36,Regular departures
,capital air ambulance,active,2023-05-02t09:00:00.000,2023-05-02t09:10:00.000,2023-05-02 08:54:00,2023-05-02,08:54:00,0,Regular departures
si475,blue islands,active,2023-05-02t10:40:00.000,2023-05-02t10:50:00.000,2023-05-02 10:43:00,2023-05-02,10:43:00,3,Regular departures
u22729,easyjet,active,2023-05-02t13:20:00.000,2023-05-02t13:30:00.000,2023-05-02 13:38:00,2023-05-02,13:38:00,19,Regular departures
u22775,easyjet,active,2023-05-02t13:25:00.000,2023-05-02t13:25:00.000,2023-05-02 13:40:00,2023-05-02,13:40:00,16,Regular departures
ls1831,jet2,active,2023-05-02t13:40:00.000,2023-05-02t14:10:00.000,2023-05-02 14:24:00,2023-05-02,14:24:00,45,Regular departures
ey7365,etihad airways,active,2023-05-02t13:45:00.000,2023-05-02t14:11:00.000,2023-05-02 14:08:00,2023-05-02,14:08:00,24,Regular departures
kq1052,kenya airways,active,2023-05-02t13:45:00.000,2023-05-02t14:11:00.000,2023-05-02 14:08:00,2023-05-02,14:08:00,24,Regular departures
vs7045,virgin atlantic,active,2023-05-02t13:45:00.000,2023-05-02t14:11:00.000,2023-05-02 14:08:00,2023-05-02,14:08:00,24,Regular departures
kl1052,klm,active,2023-05-02t13:45:00.000,2023-05-02t14:11:00.000,2023-05-02 14:08:00,2023-05-02,14:08:00,24,Regular departures
u22867,easyjet,active,2023-05-02t13:45:00.000,2023-05-02t13:45:00.000,2023-05-02 13:58:00,2023-05-02,13:58:00,13,Regular departures
u22913,easyjet,active,2023-05-02t13:50:00.000,2023-05-02t13:50:00.000,2023-05-02 13:56:00,2023-05-02,13:56:00,6,Regular departures
ls1801,jet2,active,2023-05-02t14:00:00.000,2023-05-02t14:10:00.000,2023-05-02 14:22:00,2023-05-02,14:22:00,22,Regular departures
x36238,tuifly,active,2023-05-02t14:05:00.000,2023-05-02t14:15:00.000,2023-05-02 14:19:00,2023-05-02,14:19:00,15,Regular departures
gr643,aurigny air services,active,2023-05-02t14:20:00.000,2023-05-02t14:30:00.000,2023-05-02 14:35:00,2023-05-02,14:35:00,16,Regular departures
x3562,tuifly,active,2023-05-02t14:25:00.000,2023-05-02t14:35:00.000,2023-05-02 14:31:00,2023-05-02,14:31:00,7,Regular departures
fr4753,ryanair,active,2023-05-02t14:35:00.000,2023-05-02t14:35:00.000,2023-05-02 14:54:00,2023-05-02,14:54:00,19,Regular departures
u22769,easyjet,active,2023-05-02t14:40:00.000,2023-05-02t15:10:00.000,2023-05-02 15:15:00,2023-05-02,15:15:00,35,Regular departures
u2217,easyjet,active,2023-05-02t15:00:00.000,2023-05-02t15:00:00.000,2023-05-02 15:10:00,2023-05-02,15:10:00,11,Regular departures
fr1361,ryanair,active,2023-05-02t15:30:00.000,2023-05-02t15:30:00.000,2023-05-02 15:53:00,2023-05-02,15:53:00,23,Regular departures
fr507,ryanair,active,2023-05-02t15:55:00.000,2023-05-02t15:55:00.000,2023-05-02 16:05:00,2023-05-02,16:05:00,10,Regular departures
ei3843,aer lingus,active,2023-05-02t16:00:00.000,2023-05-02t16:00:00.000,2023-05-02 16:26:00,2023-05-02,16:26:00,27,Regular departures
u2227,easyjet,active,2023-05-02t16:05:00.000,2023-05-02t16:26:00.000,2023-05-02 16:25:00,2023-05-02,16:25:00,20,Regular departures
u24980,easyjet,active,2023-05-02t16:10:00.000,2023-05-02t16:10:00.000,2023-05-02 16:29:00,2023-05-02,16:29:00,19,Regular departures
ls1881,jet2,active,2023-05-02t16:15:00.000,2023-05-02t16:25:00.000,2023-05-02 16:21:00,2023-05-02,16:21:00,7,Regular departures
x36278,tuifly,active,2023-05-02t16:30:00.000,2023-05-02t16:30:00.000,2023-05-02 16:47:00,2023-05-02,16:47:00,17,Regular departures
u22717,easyjet,active,2023-05-02t16:30:00.000,2023-05-02t16:30:00.000,2023-05-02 16:41:00,2023-05-02,16:41:00,11,Regular departures
