flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
ba8867,british airways,active,2024-02-21t16:00:00.000,2024-02-21t16:00:00.000,2024-02-21 15:54:00,2024-02-21,15:54:00,0,Regular departures
ei3843,aer lingus,active,2024-02-21t16:00:00.000,2024-02-21t16:00:00.000,2024-02-21 15:54:00,2024-02-21,15:54:00,0,Regular departures
u2231,easyjet,active,2024-02-21t16:10:00.000,2024-02-21t16:10:00.000,2024-02-21 16:11:00,2024-02-21,16:11:00,1,Regular departures
u22873,easyjet,active,2024-02-21t16:35:00.000,2024-02-21t16:35:00.000,2024-02-21 16:36:00,2024-02-21,16:36:00,2,Regular departures
ey5802,etihad airways,active,2024-02-21t17:15:00.000,2024-02-21t17:15:00.000,2024-02-21 17:35:00,2024-02-21,17:35:00,21,Regular departures
kq1054,kenya airways,active,2024-02-21t17:15:00.000,2024-02-21t17:15:00.000,2024-02-21 17:35:00,2024-02-21,17:35:00,21,Regular departures
vs7046,virgin atlantic,active,2024-02-21t17:15:00.000,2024-02-21t17:15:00.000,2024-02-21 17:35:00,2024-02-21,17:35:00,21,Regular departures
kl1054,klm,active,2024-02-21t17:15:00.000,2024-02-21t17:15:00.000,2024-02-21 17:35:00,2024-02-21,17:35:00,21,Regular departures
u22715,easyjet,active,2024-02-21t17:20:00.000,2024-02-21t17:20:00.000,2024-02-21 17:27:00,2024-02-21,17:27:00,7,Regular departures
u22723,easyjet,active,2024-02-21t17:35:00.000,2024-02-21t17:35:00.000,2024-02-21 17:33:00,2024-02-21,17:33:00,0,Regular departures
u22923,easyjet,active,2024-02-21t18:05:00.000,2024-02-21t18:05:00.000,2024-02-21 18:04:00,2024-02-21,18:04:00,0,Regular departures
u24654,easyjet,active,2024-02-21t18:05:00.000,2024-02-21t18:05:00.000,2024-02-21 18:06:00,2024-02-21,18:06:00,2,Regular departures
u2203,easyjet,active,2024-02-21t18:30:00.000,2024-02-21t18:30:00.000,2024-02-21 18:28:00,2024-02-21,18:28:00,0,Regular departures
u2217,easyjet,active,2024-02-21t18:35:00.000,2024-02-21t18:35:00.000,2024-02-21 18:39:00,2024-02-21,18:39:00,5,Regular departures
u24058,easyjet,active,2024-02-21t19:25:00.000,2024-02-21t19:32:00.000,2024-02-21 19:29:00,2024-02-21,19:29:00,4,Regular departures
ba8943,british airways,active,2024-02-21t19:40:00.000,2024-02-21t19:40:00.000,2024-02-21 19:39:00,2024-02-21,19:39:00,0,Regular departures
ei3287,aer lingus,active,2024-02-21t19:40:00.000,2024-02-21t19:40:00.000,2024-02-21 19:39:00,2024-02-21,19:39:00,0,Regular departures
u22957,easyjet,active,2024-02-21t19:45:00.000,2024-02-21t19:45:00.000,2024-02-21 19:37:00,2024-02-21,19:37:00,0,Regular departures
ba7820,british airways,active,2024-02-21t19:55:00.000,2024-02-21t19:55:00.000,2024-02-21 20:12:00,2024-02-21,20:12:00,17,Regular departures
si7046,sierra pacific airlines,active,2024-02-21t19:55:00.000,2024-02-21t19:55:00.000,2024-02-21 20:12:00,2024-02-21,20:12:00,17,Regular departures
lm46,loganair,active,2024-02-21t19:55:00.000,2024-02-21t19:55:00.000,2024-02-21 20:12:00,2024-02-21,20:12:00,17,Regular departures
u22775,easyjet,active,2024-02-21t18:30:00.000,2024-02-21t18:30:00.000,2024-02-21 18:25:00,2024-02-21,18:25:00,0,Regular departures
,bae systems marine,active,2024-02-21t08:50:00.000,2024-02-21t09:05:00.000,2024-02-21 09:00:00,2024-02-21,09:00:00,11,Regular departures
,bae systems marine,active,2024-02-21t17:35:00.000,2024-02-21t17:50:00.000,2024-02-21 17:31:00,2024-02-21,17:31:00,0,Regular departures
fr2292,ryanair,active,2024-02-21t05:50:00.000,2024-02-21t05:50:00.000,2024-02-21 05:57:00,2024-02-21,05:57:00,7,Night hour departures
af5199,air france,active,2024-02-21t06:15:00.000,2024-02-21t06:20:00.000,2024-02-21 06:24:00,2024-02-21,06:24:00,10,Shoulder hour flights
az3737,alitalia,active,2024-02-21t06:15:00.000,2024-02-21t06:20:00.000,2024-02-21 06:24:00,2024-02-21,06:24:00,10,Shoulder hour flights
dl9422,delta air lines,active,2024-02-21t06:15:00.000,2024-02-21t06:20:00.000,2024-02-21 06:24:00,2024-02-21,06:24:00,10,Shoulder hour flights
ey7330,etihad airways,active,2024-02-21t06:15:00.000,2024-02-21t06:20:00.000,2024-02-21 06:24:00,2024-02-21,06:24:00,10,Shoulder hour flights
g35535,gol,active,2024-02-21t06:15:00.000,2024-02-21t06:20:00.000,2024-02-21 06:24:00,2024-02-21,06:24:00,10,Shoulder hour flights
kq1046,kenya airways,active,2024-02-21t06:15:00.000,2024-02-21t06:20:00.000,2024-02-21 06:24:00,2024-02-21,06:24:00,10,Shoulder hour flights
vs6854,virgin atlantic,active,2024-02-21t06:15:00.000,2024-02-21t06:20:00.000,2024-02-21 06:24:00,2024-02-21,06:24:00,10,Shoulder hour flights
kl1046,klm,active,2024-02-21t06:15:00.000,2024-02-21t06:20:00.000,2024-02-21 06:24:00,2024-02-21,06:24:00,10,Shoulder hour flights
u22713,easyjet,active,2024-02-21t06:20:00.000,2024-02-21t07:00:00.000,2024-02-21 06:31:00,2024-02-21,06:31:00,12,Shoulder hour flights
u22871,easyjet,active,2024-02-21t06:40:00.000,2024-02-21t07:00:00.000,2024-02-21 07:15:00,2024-02-21,07:15:00,35,Regular departures
x36324,tuifly,active,2024-02-21t06:45:00.000,2024-02-21t06:45:00.000,2024-02-21 06:49:00,2024-02-21,06:49:00,5,Shoulder hour flights
u2201,easyjet,active,2024-02-21t07:00:00.000,2024-02-21t07:00:00.000,2024-02-21 07:01:00,2024-02-21,07:01:00,1,Regular departures
u2213,easyjet,active,2024-02-21t07:00:00.000,2024-02-21t07:00:00.000,2024-02-21 06:58:00,2024-02-21,06:58:00,0,Shoulder hour flights
u22721,easyjet,active,2024-02-21t07:00:00.000,2024-02-21t07:00:00.000,2024-02-21 07:03:00,2024-02-21,07:03:00,3,Regular departures
u22783,easyjet,active,2024-02-21t07:00:00.000,2024-02-21t07:12:00.000,2024-02-21 07:19:00,2024-02-21,07:19:00,20,Regular departures
u22883,easyjet,active,2024-02-21t07:00:00.000,2024-02-21t07:00:00.000,2024-02-21 07:06:00,2024-02-21,07:06:00,6,Regular departures
u22703,easyjet,active,2024-02-21t07:10:00.000,2024-02-21t07:03:00.000,2024-02-21 07:17:00,2024-02-21,07:17:00,8,Regular departures
u22709,easyjet,active,2024-02-21t07:10:00.000,2024-02-21t07:10:00.000,2024-02-21 07:25:00,2024-02-21,07:25:00,16,Regular departures
u2237,easyjet,active,2024-02-21t07:45:00.000,2024-02-21t07:45:00.000,2024-02-21 07:51:00,2024-02-21,07:51:00,6,Regular departures
u22921,easyjet,active,2024-02-21t07:45:00.000,2024-02-21t07:42:00.000,2024-02-21 07:47:00,2024-02-21,07:47:00,3,Regular departures
u22911,easyjet,active,2024-02-21t08:00:00.000,2024-02-21t08:12:00.000,2024-02-21 07:59:00,2024-02-21,07:59:00,0,Regular departures
u22719,easyjet,active,2024-02-21t08:05:00.000,2024-02-21t07:59:00.000,2024-02-21 08:11:00,2024-02-21,08:11:00,6,Regular departures
u22773,easyjet,active,2024-02-21t08:30:00.000,2024-02-21t08:30:00.000,2024-02-21 08:40:00,2024-02-21,08:40:00,11,Regular departures
dl9423,delta air lines,active,2024-02-21t09:00:00.000,2024-02-21t09:00:00.000,2024-02-21 09:05:00,2024-02-21,09:05:00,5,Regular departures
ey5843,etihad airways,active,2024-02-21t09:00:00.000,2024-02-21t09:00:00.000,2024-02-21 09:05:00,2024-02-21,09:05:00,5,Regular departures
kq1050,kenya airways,active,2024-02-21t09:00:00.000,2024-02-21t09:00:00.000,2024-02-21 09:05:00,2024-02-21,09:05:00,5,Regular departures
vs7044,virgin atlantic,active,2024-02-21t09:00:00.000,2024-02-21t09:00:00.000,2024-02-21 09:05:00,2024-02-21,09:05:00,5,Regular departures
zq1050,german airways,active,2024-02-21t09:00:00.000,2024-02-21t09:00:00.000,2024-02-21 09:05:00,2024-02-21,09:05:00,5,Regular departures
fr6221,ryanair,active,2024-02-21t09:05:00.000,2024-02-21t09:05:00.000,2024-02-21 09:16:00,2024-02-21,09:16:00,11,Regular departures
u2324,easyjet,active,2024-02-21t09:05:00.000,2024-02-21t09:05:00.000,2024-02-21 09:07:00,2024-02-21,09:07:00,3,Regular departures
fr505,ryanair,active,2024-02-21t09:20:00.000,2024-02-21t09:35:00.000,2024-02-21 09:44:00,2024-02-21,09:44:00,24,Regular departures
u22931,easyjet,active,2024-02-21t10:30:00.000,2024-02-21t10:30:00.000,2024-02-21 10:41:00,2024-02-21,10:41:00,12,Regular departures
u22885,easyjet,active,2024-02-21t10:35:00.000,2024-02-21t10:35:00.000,2024-02-21 10:45:00,2024-02-21,10:45:00,10,Regular departures
x3226,tuifly,active,2024-02-21t10:40:00.000,2024-02-21t10:40:00.000,2024-02-21 10:47:00,2024-02-21,10:47:00,8,Regular departures
u22867,easyjet,active,2024-02-21t10:55:00.000,2024-02-21t10:55:00.000,2024-02-21 11:13:00,2024-02-21,11:13:00,19,Regular departures
u2215,easyjet,active,2024-02-21t11:30:00.000,2024-02-21t11:30:00.000,2024-02-21 11:26:00,2024-02-21,11:26:00,0,Regular departures
u22901,easyjet,active,2024-02-21t11:30:00.000,2024-02-21t11:30:00.000,2024-02-21 11:44:00,2024-02-21,11:44:00,15,Regular departures
u2100,easyjet,active,2024-02-21t11:50:00.000,2024-02-21t11:50:00.000,2024-02-21 11:53:00,2024-02-21,11:53:00,4,Regular departures
u22731,easyjet,active,2024-02-21t13:20:00.000,2024-02-21t13:20:00.000,2024-02-21 13:32:00,2024-02-21,13:32:00,12,Regular departures
u22887,easyjet,active,2024-02-21t13:30:00.000,2024-02-21t13:30:00.000,2024-02-21 13:43:00,2024-02-21,13:43:00,14,Regular departures
u22945,easyjet,active,2024-02-21t13:30:00.000,2024-02-21t13:30:00.000,2024-02-21 13:46:00,2024-02-21,13:46:00,16,Regular departures
u22733,easyjet,active,2024-02-21t13:35:00.000,2024-02-21t13:35:00.000,2024-02-21 13:48:00,2024-02-21,13:48:00,14,Regular departures
ey7365,etihad airways,active,2024-02-21t13:45:00.000,2024-02-21t13:57:00.000,2024-02-21 14:04:00,2024-02-21,14:04:00,19,Regular departures
kq1052,kenya airways,active,2024-02-21t13:45:00.000,2024-02-21t13:57:00.000,2024-02-21 14:04:00,2024-02-21,14:04:00,19,Regular departures
vs7045,virgin atlantic,active,2024-02-21t13:45:00.000,2024-02-21t13:57:00.000,2024-02-21 14:04:00,2024-02-21,14:04:00,19,Regular departures
kl1052,klm,active,2024-02-21t13:45:00.000,2024-02-21t13:57:00.000,2024-02-21 14:04:00,2024-02-21,14:04:00,19,Regular departures
u22837,easyjet,active,2024-02-21t13:45:00.000,2024-02-21t13:57:00.000,2024-02-21 13:50:00,2024-02-21,13:50:00,6,Regular departures
u22781,easyjet,active,2024-02-21t13:55:00.000,2024-02-21t13:55:00.000,2024-02-21 13:57:00,2024-02-21,13:57:00,3,Regular departures
gr642,aurigny air services,active,2024-02-21t14:10:00.000,2024-02-21t14:10:00.000,2024-02-21 14:10:00,2024-02-21,14:10:00,0,Regular departures
u21362,easyjet,active,2024-02-21t14:30:00.000,2024-02-21t14:42:00.000,2024-02-21 14:32:00,2024-02-21,14:32:00,3,Regular departures
u2219,easyjet,active,2024-02-21t14:40:00.000,2024-02-21t14:40:00.000,2024-02-21 14:37:00,2024-02-21,14:37:00,0,Regular departures
fr4755,ryanair,active,2024-02-21t15:00:00.000,2024-02-21t14:56:00.000,2024-02-21 15:10:00,2024-02-21,15:10:00,10,Regular departures
fr4129,ryanair,active,2024-02-21t15:35:00.000,2024-02-21t15:35:00.000,2024-02-21 15:41:00,2024-02-21,15:41:00,6,Regular departures
u22877,easyjet,active,2024-02-21t15:35:00.000,2024-02-21t15:35:00.000,2024-02-21 16:00:00,2024-02-21,16:00:00,25,Regular departures
ba8867,british airways,active,2024-02-21t16:00:00.000,2024-02-21t16:00:00.000,2024-02-21 15:54:00,2024-02-21,15:54:00,0,Regular departures
ei3843,aer lingus,active,2024-02-21t16:00:00.000,2024-02-21t16:00:00.000,2024-02-21 15:54:00,2024-02-21,15:54:00,0,Regular departures
u2231,easyjet,active,2024-02-21t16:10:00.000,2024-02-21t16:10:00.000,2024-02-21 16:11:00,2024-02-21,16:11:00,1,Regular departures
u22873,easyjet,active,2024-02-21t16:35:00.000,2024-02-21t16:35:00.000,2024-02-21 16:36:00,2024-02-21,16:36:00,2,Regular departures
ey5802,etihad airways,active,2024-02-21t17:15:00.000,2024-02-21t17:15:00.000,2024-02-21 17:35:00,2024-02-21,17:35:00,21,Regular departures
kq1054,kenya airways,active,2024-02-21t17:15:00.000,2024-02-21t17:15:00.000,2024-02-21 17:35:00,2024-02-21,17:35:00,21,Regular departures
vs7046,virgin atlantic,active,2024-02-21t17:15:00.000,2024-02-21t17:15:00.000,2024-02-21 17:35:00,2024-02-21,17:35:00,21,Regular departures
kl1054,klm,active,2024-02-21t17:15:00.000,2024-02-21t17:15:00.000,2024-02-21 17:35:00,2024-02-21,17:35:00,21,Regular departures
u22715,easyjet,active,2024-02-21t17:20:00.000,2024-02-21t17:20:00.000,2024-02-21 17:27:00,2024-02-21,17:27:00,7,Regular departures
u22723,easyjet,active,2024-02-21t17:35:00.000,2024-02-21t17:35:00.000,2024-02-21 17:33:00,2024-02-21,17:33:00,0,Regular departures
u22923,easyjet,active,2024-02-21t18:05:00.000,2024-02-21t18:05:00.000,2024-02-21 18:04:00,2024-02-21,18:04:00,0,Regular departures
u24654,easyjet,active,2024-02-21t18:05:00.000,2024-02-21t18:05:00.000,2024-02-21 18:06:00,2024-02-21,18:06:00,2,Regular departures
u2203,easyjet,active,2024-02-21t18:30:00.000,2024-02-21t18:30:00.000,2024-02-21 18:28:00,2024-02-21,18:28:00,0,Regular departures
u2217,easyjet,active,2024-02-21t18:35:00.000,2024-02-21t18:35:00.000,2024-02-21 18:39:00,2024-02-21,18:39:00,5,Regular departures
u24058,easyjet,active,2024-02-21t19:25:00.000,2024-02-21t19:32:00.000,2024-02-21 19:29:00,2024-02-21,19:29:00,4,Regular departures
ba8943,british airways,active,2024-02-21t19:40:00.000,2024-02-21t19:40:00.000,2024-02-21 19:39:00,2024-02-21,19:39:00,0,Regular departures
ei3287,aer lingus,active,2024-02-21t19:40:00.000,2024-02-21t19:40:00.000,2024-02-21 19:39:00,2024-02-21,19:39:00,0,Regular departures
u22957,easyjet,active,2024-02-21t19:45:00.000,2024-02-21t19:45:00.000,2024-02-21 19:37:00,2024-02-21,19:37:00,0,Regular departures
ba7820,british airways,active,2024-02-21t19:55:00.000,2024-02-21t19:55:00.000,2024-02-21 20:12:00,2024-02-21,20:12:00,17,Regular departures
si7046,sierra pacific airlines,active,2024-02-21t19:55:00.000,2024-02-21t19:55:00.000,2024-02-21 20:12:00,2024-02-21,20:12:00,17,Regular departures
lm46,loganair,active,2024-02-21t19:55:00.000,2024-02-21t19:55:00.000,2024-02-21 20:12:00,2024-02-21,20:12:00,17,Regular departures
u22775,easyjet,active,2024-02-21t18:30:00.000,2024-02-21t18:30:00.000,2024-02-21 18:25:00,2024-02-21,18:25:00,0,Regular departures
,bae systems marine,active,2024-02-21t08:50:00.000,2024-02-21t09:05:00.000,2024-02-21 09:00:00,2024-02-21,09:00:00,11,Regular departures
,bae systems marine,active,2024-02-21t17:35:00.000,2024-02-21t17:50:00.000,2024-02-21 17:31:00,2024-02-21,17:31:00,0,Regular departures
