flight_number,airline_name,flight_status,scheduled_departure,estimated_departure,actual_departure,departure_date,departure_time,departure_delay,flight_type
fr505,ryanair,active,2023-05-11t05:55:00.000,2023-05-11t06:03:00.000,2023-05-11 06:00:00,2023-05-11,06:00:00,5,Shoulder hour flights
fr4121,ryanair,active,2023-05-11t05:55:00.000,2023-05-11t05:55:00.000,2023-05-11 06:10:00,2023-05-11,06:10:00,15,Shoulder hour flights
x3466,tuifly,active,2023-05-11t06:00:00.000,2023-05-11t06:00:00.000,2023-05-11 06:16:00,2023-05-11,06:16:00,17,Shoulder hour flights
x36482,tuifly,active,2023-05-11t06:00:00.000,2023-05-11t06:00:00.000,2023-05-11 06:07:00,2023-05-11,06:07:00,7,Shoulder hour flights
u22709,easyjet,active,2023-05-11t06:00:00.000,2023-05-11t06:00:00.000,2023-05-11 06:03:00,2023-05-11,06:03:00,4,Shoulder hour flights
u22715,easyjet,active,2023-05-11t06:00:00.000,2023-05-11t06:00:00.000,2023-05-11 06:14:00,2023-05-11,06:14:00,15,Shoulder hour flights
u22891,easyjet,active,2023-05-11t06:00:00.000,2023-05-11t06:00:00.000,2023-05-11 06:12:00,2023-05-11,06:12:00,13,Shoulder hour flights
u22731,easyjet,active,2023-05-11t06:05:00.000,2023-05-11t06:18:00.000,2023-05-11 06:32:00,2023-05-11,06:32:00,27,Shoulder hour flights
u22843,easyjet,active,2023-05-11t06:10:00.000,2023-05-11t06:10:00.000,2023-05-11 06:24:00,2023-05-11,06:24:00,14,Shoulder hour flights
ls1877,jet2,active,2023-05-11t06:15:00.000,2023-05-11t06:15:00.000,2023-05-11 06:36:00,2023-05-11,06:36:00,22,Shoulder hour flights
u22702,easyjet,active,2023-05-11t06:15:00.000,2023-05-11t06:15:00.000,2023-05-11 06:30:00,2023-05-11,06:30:00,15,Shoulder hour flights
u22837,easyjet,active,2023-05-11t06:15:00.000,2023-05-11t06:15:00.000,2023-05-11 06:26:00,2023-05-11,06:26:00,12,Shoulder hour flights
af5199,air france,active,2023-05-11t06:20:00.000,2023-05-11t06:20:00.000,2023-05-11 06:34:00,2023-05-11,06:34:00,14,Shoulder hour flights
az3737,alitalia,active,2023-05-11t06:20:00.000,2023-05-11t06:20:00.000,2023-05-11 06:34:00,2023-05-11,06:34:00,14,Shoulder hour flights
dl9422,delta air lines,active,2023-05-11t06:20:00.000,2023-05-11t06:20:00.000,2023-05-11 06:34:00,2023-05-11,06:34:00,14,Shoulder hour flights
ey7330,etihad airways,active,2023-05-11t06:20:00.000,2023-05-11t06:20:00.000,2023-05-11 06:34:00,2023-05-11,06:34:00,14,Shoulder hour flights
g35535,gol,active,2023-05-11t06:20:00.000,2023-05-11t06:20:00.000,2023-05-11 06:34:00,2023-05-11,06:34:00,14,Shoulder hour flights
kq1046,kenya airways,active,2023-05-11t06:20:00.000,2023-05-11t06:20:00.000,2023-05-11 06:34:00,2023-05-11,06:34:00,14,Shoulder hour flights
vs6854,virgin atlantic,active,2023-05-11t06:20:00.000,2023-05-11t06:20:00.000,2023-05-11 06:34:00,2023-05-11,06:34:00,14,Shoulder hour flights
kl1046,klm,active,2023-05-11t06:20:00.000,2023-05-11t06:20:00.000,2023-05-11 06:34:00,2023-05-11,06:34:00,14,Shoulder hour flights
ls1821,jet2,active,2023-05-11t06:25:00.000,2023-05-11t06:20:00.000,2023-05-11 06:39:00,2023-05-11,06:39:00,15,Shoulder hour flights
ls1897,jet2,active,2023-05-11t06:25:00.000,2023-05-11t06:40:00.000,2023-05-11 06:45:00,2023-05-11,06:45:00,20,Shoulder hour flights
u22939,easyjet,active,2023-05-11t06:35:00.000,2023-05-11t06:48:00.000,2023-05-11 06:52:00,2023-05-11,06:52:00,17,Shoulder hour flights
u2223,easyjet,active,2023-05-11t07:00:00.000,2023-05-11t07:00:00.000,2023-05-11 07:19:00,2023-05-11,07:19:00,20,Regular departures
u22781,easyjet,active,2023-05-11t07:00:00.000,2023-05-11t07:00:00.000,2023-05-11 07:15:00,2023-05-11,07:15:00,15,Regular departures
u22839,easyjet,active,2023-05-11t07:00:00.000,2023-05-11t07:00:00.000,2023-05-11 07:42:00,2023-05-11,07:42:00,43,Regular departures
u22921,easyjet,active,2023-05-11t07:05:00.000,2023-05-11t07:05:00.000,2023-05-11 07:12:00,2023-05-11,07:12:00,7,Regular departures
u2201,easyjet,active,2023-05-11t07:10:00.000,2023-05-11t07:10:00.000,2023-05-11 07:23:00,2023-05-11,07:23:00,13,Regular departures
u22773,easyjet,active,2023-05-11t07:15:00.000,2023-05-11t07:15:00.000,2023-05-11 07:27:00,2023-05-11,07:27:00,13,Regular departures
u22877,easyjet,active,2023-05-11t07:20:00.000,2023-05-11t07:20:00.000,2023-05-11 07:55:00,2023-05-11,07:55:00,35,Regular departures
fr1591,ryanair,active,2023-05-11t07:30:00.000,2023-05-11t08:15:00.000,2023-05-11 08:06:00,2023-05-11,08:06:00,37,Regular departures
